START_DATE,END_DATE,CATEGORY,START,STOP,MILES,AVG_CATEGORY_MILES,date,time,day_night,ROUND_TRIP,MINUTES,RIDE_DURATION,NEXT_RIDE,TIME_DIFF,MONTH_April,MONTH_August,MONTH_December,MONTH_February,MONTH_January,MONTH_July,MONTH_June,MONTH_March,MONTH_May,MONTH_November,MONTH_October,MONTH_September,WEEKDAY_Friday,WEEKDAY_Monday,WEEKDAY_Saturday,WEEKDAY_Sunday,WEEKDAY_Thursday,WEEKDAY_Tuesday,WEEKDAY_Wednesday,PURPOSE_Airport/Travel,PURPOSE_Between Offices,PURPOSE_Charity ($),PURPOSE_Commute,PURPOSE_Customer Visit,PURPOSE_Errand/Supplies,PURPOSE_Meal/Entertain,PURPOSE_Meeting,PURPOSE_Moving,PURPOSE_Temporary Site
2024-01-01 23:54:00,2024-01-02 00:35:00,0,Winter Park,Miami,-0.5770777539426687,6.139240506329114,2024-01-01,23:54,1,0,-0.32122666433967484,-0.32122666433967484,2024-01-03 23:38:00,0.6827500710654467,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-03 23:38:00,2024-01-04 00:09:00,0,Daytona Beach,New York,-1.0185746987194557,6.139240506329114,2024-01-03,23:38,1,0,-0.7303694849397894,-0.7303694849397894,2024-01-09 12:29:00,3.7006446383385856,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2024-01-09 12:29:00,2024-01-09 13:58:00,0,Winter Park,Savannah,1.3655088030751936,6.139240506329114,2024-01-09,12:29,0,0,1.642658874540875,1.642658874540875,2024-01-10 15:01:00,-0.09575702856334818,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2024-01-10 15:01:00,2024-01-10 15:28:00,0,Charlotte,Raleigh,-0.5550029067038293,6.139240506329114,2024-01-10,15:01,0,0,-0.8940266131798351,-0.8940266131798351,2024-01-13 22:58:00,1.831048043017919,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
2024-01-13 22:58:00,2024-01-14 00:17:00,0,Cary,Lake Wales,-0.7757513790922227,6.139240506329114,2024-01-13,22:58,1,0,1.2335160539407604,1.2335160539407604,2024-01-17 05:52:00,1.7632235608532891,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2024-01-17 05:52:00,2024-01-17 06:36:00,0,Savannah,Latta,0.48251491352161985,6.139240506329114,2024-01-17,05:52,1,0,-0.19848381815964045,-0.19848381815964045,2024-01-18 02:55:00,-0.26325401060469494,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2024-01-18 02:55:00,2024-01-18 03:00:00,0,Tampa,Palm Beach,0.81363762210421,6.139240506329114,2024-01-18,02:55,1,0,-1.794140818500087,-1.794140818500087,2024-01-18 05:42:00,-0.8866494684135102,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2024-01-18 05:42:00,2024-01-18 06:42:00,0,Jacksonville,Daytona Beach,1.7407812061354622,6.139240506329114,2024-01-18,05:42,1,0,0.4561446948005428,0.4561446948005428,2024-01-18 16:14:00,-0.6448404450439603,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2024-01-18 16:14:00,2024-01-18 16:25:00,0,Tampa,Savannah,-0.7757513790922227,6.139240506329114,2024-01-18,16:14,0,0,-1.5486551261400183,-1.5486551261400183,2024-01-20 23:30:00,0.9670231180511127,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2024-01-20 23:30:00,2024-01-21 00:11:00,0,Jamaica,Orlando,0.4604400662827804,6.139240506329114,2024-01-20,23:30,1,0,-0.32122666433967484,-0.32122666433967484,2024-01-21 08:23:00,-0.6920226935063115,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2024-01-21 08:23:00,2024-01-21 08:44:00,0,Jamaica,Daytona Beach,-0.6874519901368654,6.139240506329114,2024-01-21,08:23,0,0,-1.139512305539904,-1.139512305539904,2024-01-22 19:04:00,0.2327493763557721,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2024-01-22 19:04:00,2024-01-22 19:46:00,0,New York,Palm Beach,-0.0914311146882032,6.139240506329114,2024-01-22,19:04,1,0,-0.2803123822796634,-0.2803123822796634,2024-01-23 04:49:00,-0.6619440101115627,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-01-23 04:49:00,2024-01-23 05:00:00,0,Atlanta,Wilmington,0.06309281598367225,6.139240506329114,2024-01-23,04:49,1,0,-1.5486551261400183,-1.5486551261400183,2024-01-24 14:56:00,0.21859470181706672,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2024-01-24 14:56:00,2024-01-24 16:02:00,0,Jacksonville,Jamaica,-0.9082004625252589,6.139240506329114,2024-01-24,14:56,0,0,0.7016303871606115,0.7016303871606115,2024-01-25 16:24:00,-0.11993793090030316,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
2024-01-25 16:24:00,2024-01-25 17:29:00,0,Berkeley Heights,Orlando,-0.5108532122261507,6.139240506329114,2024-01-25,16:24,0,0,0.6607161051006001,0.6607161051006001,2024-01-27 01:43:00,0.15843733502756893,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2024-01-27 01:43:00,2024-01-27 01:59:00,0,Raleigh,Jamaica,-0.17973050364356044,6.139240506329114,2024-01-27,01:43,1,0,-1.3440837158399612,-1.3440837158399612,2024-01-27 12:28:00,-0.611223093014535,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
